XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
07/03/2025 16:00,3327.96,3334.91,3325.68,3328.77,81,0.02,
07/03/2025 12:00,3345.99,3352.33,3311.62,3327.96,-1803,-0.54,
07/03/2025 08:00,3353.18,3358.3,3343.0,3346.05,-713,-0.21,
07/03/2025 04:00,3347.42,3363.61,3347.39,3353.01,559,0.17,
07/03/2025 00:00,3349.48,3351.51,3341.93,3347.43,-205,-0.06,
07/02/2025 20:00,3358.31,3365.76,3348.62,3349.2,-911,-0.27,
07/02/2025 16:00,3340.96,3359.51,3340.96,3358.37,1741,0.52,
07/02/2025 12:00,3342.2,3351.18,3333.89,3340.8,-140,-0.04,
07/02/2025 08:00,3334.75,3347.7,3332.87,3342.18,743,0.22,
07/02/2025 04:00,3340.01,3343.83,3327.59,3334.77,-524,-0.16,
07/02/2025 00:00,3338.08,3345.04,3328.33,3340.04,196,0.06,
07/01/2025 20:00,3338.02,3343.69,3336.65,3337.89,-13,0.00,
07/01/2025 16:00,3340.24,3343.52,3336.9,3338.12,-212,-0.06,
07/01/2025 12:00,3349.05,3357.98,3337.04,3340.2,-885,-0.26,
07/01/2025 08:00,3339.43,3353.02,3336.76,3349.06,963,0.29,
07/01/2025 04:00,3321.25,3339.94,3318.91,3339.51,1826,0.55,
07/01/2025 00:00,3312.52,3322.69,3310.08,3321.2,868,0.26,
06/30/2025 20:00,3308.65,3314.46,3302.22,3312.55,390,0.12,
06/30/2025 16:00,3289.61,3309.44,3289.13,3308.81,1920,0.58,
06/30/2025 12:00,3278.13,3290.72,3278.01,3289.55,1142,0.35,
06/30/2025 08:00,3279.92,3279.92,3279.92,3279.92,0,0.00,
06/30/2025 04:00,3278.73,3296.86,3276.94,3292.99,1426,0.43,
06/30/2025 00:00,3263.86,3283.31,3259.49,3278.85,1499,0.46,
06/29/2025 20:00,3280.46,3280.47,3246.35,3263.94,-1652,-0.51,
06/27/2025 17:00,3277.59,3282.8700000000003,3268.4100000000003,3274.65,-294,-0.09,
06/27/2025 12:00,3281.23,3282.38,3255.77,3274.68,-655,-0.20,
06/27/2025 08:00,3284.45,3291.14,3275.85,3281.35,-310,-0.09,
06/27/2025 04:00,3294.42,3300.99,3283.54,3284.4,-1002,-0.31,
06/27/2025 00:00,3318.8,3321.99,3292.66,3294.5,-2430,-0.74,
06/26/2025 20:00,3331.39,3332.3,3316.35,3318.81,-1258,-0.38,
06/26/2025 16:00,3324.94,3336.31,3323.89,3331.3,636,0.19,
06/26/2025 12:00,3333.05,3343.92,3309.57,3324.8,-825,-0.25,
06/26/2025 08:00,3346.12,3350.25,3331.69,3333.03,-1309,-0.39,
06/26/2025 04:00,3338.1,3347.19,3330.91,3346.14,804,0.24,
06/26/2025 00:00,3339.12,3343.27,3329.36,3338.1,-102,-0.03,
06/25/2025 20:00,3333.74,3340.03,3331.32,3339.0,526,0.16,
06/25/2025 16:00,3325.68,3336.08,3324.02,3333.76,808,0.24,
06/25/2025 12:00,3322.59,3329.46,3311.8,3325.66,307,0.09,
06/25/2025 08:00,3330.71,3332.42,3321.41,3322.69,-802,-0.24,
06/25/2025 04:00,3328.41,3336.94,3325.69,3330.6,219,0.07,
06/25/2025 00:00,3324.19,3335.25,3323.69,3328.28,409,0.12,
06/24/2025 20:00,3323.61,3324.88,3320.9,3324.23,62,0.02,
06/24/2025 16:00,3313.21,3325.15,3311.32,3323.62,1041,0.31,
06/24/2025 12:00,3320.92,3321.03,3295.59,3313.1,-782,-0.24,
06/24/2025 08:00,3329.56,3332.35,3317.81,3321.21,-835,-0.25,
06/24/2025 04:00,3352.37,3353.38,3315.95,3329.62,-2275,-0.68,
06/24/2025 00:00,3344.22,3357.66,3333.19,3352.29,807,0.24,
06/23/2025 20:00,3376.31,3377.32,3341.43,3344.59,-3172,-0.95,
06/23/2025 16:00,3387.11,3393.35,3375.54,3376.46,-1065,-0.32,
06/23/2025 12:00,3380.68,3389.9,3355.72,3387.1,642,0.19,
06/23/2025 08:00,3357.7,3381.78,3357.7,3380.72,2302,0.68,
06/23/2025 04:00,3363.45,3364.92,3347.19,3357.65,-580,-0.17,
06/23/2025 00:00,3372.98,3373.64,3351.84,3363.43,-955,-0.28,
06/22/2025 20:00,3391.29,3394.9,3371.26,3372.86,-1843,-0.55,
06/20/2025 16:00,3369.88,3373.31,3364.51,3367.94,-194,-0.06,
06/20/2025 12:00,3347.18,3374.47,3341.86,3369.87,2269,0.67,
06/20/2025 08:00,3347.67,3359.25,3346.62,3347.1,-57,-0.02,
06/20/2025 04:00,3355.6,3357.76,3340.12,3347.72,-788,-0.24,
06/20/2025 00:00,3368.7,3370.4,3344.37,3355.42,-1328,-0.40,
06/19/2025 20:00,3369.16,3370.49,3362.14,3368.63,-53,-0.02,
06/19/2025 16:00,3369.3,3375.42,3365.85,3370.08,78,0.02,
06/19/2025 12:00,3371.99,3373.0,3361.41,3369.23,-276,-0.08,
06/19/2025 08:00,3365.81,3378.45,3362.29,3371.94,613,0.18,
06/19/2025 04:00,3373.61,3375.31,3351.43,3354.61,-1900,-0.57,
06/19/2025 00:00,3375.22,3387.8,3369.52,3373.54,-168,-0.05,
06/18/2025 20:00,3366.78,3379.47,3362.41,3375.04,826,0.24,
06/18/2025 16:00,3392.66,3395.55,3362.84,3366.82,-2584,-0.77,
06/18/2025 12:00,3381.91,3396.6,3373.72,3392.74,1083,0.32,
06/18/2025 08:00,3385.98,3388.45,3375.26,3382.03,-395,-0.12,
06/18/2025 04:00,3391.02,3399.99,3377.18,3385.79,-523,-0.15,
06/18/2025 00:00,3387.19,3391.44,3370.51,3391.1,391,0.12,
06/17/2025 20:00,3385.7,3396.03,3383.67,3387.37,167,0.05,
06/17/2025 16:00,3379.39,3392.54,3376.72,3385.66,627,0.19,
06/17/2025 12:00,3388.52,3397.45,3366.24,3379.28,-924,-0.27,
06/17/2025 08:00,3387.71,3400.17,3375.61,3388.61,90,0.03,
06/17/2025 04:00,3387.48,3395.69,3381.02,3388.36,88,0.03,
06/17/2025 00:00,3401.88,3402.77,3376.34,3387.01,-1487,-0.44,
06/16/2025 20:00,3384.15,3402.86,3383.38,3402.68,1853,0.54,
06/16/2025 16:00,3402.8,3404.21,3381.6,3383.91,-1889,-0.56,
06/16/2025 12:00,3415.05,3417.99,3382.6,3404.64,-1041,-0.31,
06/16/2025 08:00,3412.38,3422.45,3410.77,3415.06,268,0.08,
06/16/2025 04:00,3432.64,3433.01,3410.55,3412.61,-2003,-0.59,
06/16/2025 00:00,3444.12,3451.3,3429.18,3431.62,-1250,-0.36,
06/15/2025 20:00,3442.76,3451.0,3436.96,3444.12,136,0.04,
06/13/2025 16:00,3426.39,3439.44,3419.27,3436.64,1025,0.30,
06/13/2025 12:00,3422.33,3446.74,3420.8,3426.2,387,0.11,
06/13/2025 08:00,3414.95,3427.7,3411.69,3422.3,735,0.21,
